0,1,2
74Q,438,"Homogenization, determination of effective properties"
74R,439,Fracture and damage
74S,440,Numerical methods
76A,441,"Foundations, constitutive equations, rheology"
76B,442,Incompressible inviscid fluids
76D,443,Incompressible viscous fluids
76E,444,Hydrodynamic stability
76F,445,Turbulence
76G,446,General aerodynamics and subsonic flows
76H,447,Transonic flows
76J,448,Supersonic flows
76K,449,Hypersonic flows
76L,450,Shock waves and blast waves
76M,451,Basic methods in fluid mechanics
76N,452,"Compressible fluids and gas dynamics, general"
76P,453,"Rarefied gas flows, Boltzmann equation"
76Q,454,Hydro- and aero-acoustics
76R,455,Diffusion and convection
76S,456,Flows in porous media; filtration; seepage
76T,457,Two-phase and multiphase flows
76U,458,Rotating fluids
76V,459,Reaction effects in flows
76W,460,Magnetohydrodynamics and electrohydrodynamics
76X,461,Ionized gas flow in electromagnetic fields; plasmic flow
76Y,462,Quantum hydrodynamics and relativistic hydrodynamics
76Z,463,Biological fluid mechanics
78A,464,General
78M,465,Basic methods
81P,466,"Axiomatics, foundations, philosophy"
81Q,467,General mathematical topics and methods in quantum theory
81R,468,Groups and algebras in quantum theory
81S,469,General quantum mechanics and problems of quantization
81T,470,Quantum field theory; related classical field theories
81U,471,Scattering theory
81V,472,Applications to specific physical systems
82B,473,Equilibrium statistical mechanics
82C,474,Time-dependent statistical mechanics
82D,475,Applications to specific types of physical systems
83A,476,Special relativity
83B,477,Observational and experimental questions
83C,478,General relativity
83D,479,"Relativistic gravitational theories other than Einstein’s, including asymmetric field theories"
83E,480,"Unified, higher-dimensional and super field theories"
83F,481,Cosmology
90B,482,Operations research and management science
90C,483,Mathematical programming
91A,484,Game theory
91B,485,Mathematical economics
91C,486,Social and behavioral sciences: general topics
91D,487,Mathematical sociology
91E,488,Mathematical psychology
91F,489,Other social and behavioral sciences
91G,490,Mathematical finance
92B,491,Mathematical biology in general
92C,492,"Physiological, cellular and medical topics"
92D,493,Genetics and population dynamics
92E,494,Chemistry
92F,495,Other natural sciences
93A,496,General
93B,497,"Controllability, observability, and system structure"
93C,498,Control systems
93D,499,Stability
93E,500,Stochastic systems and control
94A,501,"Communication, information"
94B,502,Theory of error-correcting codes and error-detecting codes
94C,503,"Circuits, networks"
94D,504,Fuzzy sets and logic
97A,505,"General, mathematics and education"
97B,506,Educational policy and systems
97C,507,"Psychology of mathematics education, research in mathematics education"
97D,508,Education and instruction in mathematics
97E,509,Foundations of mathematics
97F,510,"Arithmetic, number theory"
97G,511,Geometry
97H,512,Algebra
97I,513,Analysis
97K,514,"Combinatorics, graph theory, probability theory, statistics"
97M,515,"Mathematical modeling, applications of mathematics"
97N,516,Numerical mathematics
97P,517,Computer science
97Q,518,Computer science education
97R,519,Computer science applications
97U,520,"Educational material and media, educational technology"
